ID,,Threat_CA,Thinks_frequently_about_CA,Female,Needs_to_belong,Selfesteem_contingent_on_academics,Desired_closeness_to_CA,Sum_of_risk_factors,Average_anxiety
1,,0,0,0,0,0,0,0,1
2,,0,0,1,0,0,0,1,2.5
3,,1,0,1,0,0,0,2,6
4,,1,0,0,1,0,0,2,2
5,,0,1,1,0,1,0,3,6.5
6,,0,1,1,1,0,0,3,3.5
7,,1,0,0,0,1,0,2,5
8,,1,0,1,0,1,0,3,5
9,,1,1,1,0,1,0,4,5.5
10,,0,1,0,0,0,0,1,5
11,,0,0,0,0,0,0,0,2
12,,0,1,0,1,1,0,3,5.5
13,,1,0,0,0,1,0,2,3.5
14,,0,0,1,1,0,0,2,4.5
15,,0,0,1,1,0,0,2,4
16,,1,1,1,0,0,0,3,1
17,,0,0,1,0,0,0,1,1
18,,0,1,1,0,1,0,3,1.5
19,,0,1,0,1,0,0,2,3
20,,1,1,1,1,1,0,5,2
21,,1,0,1,0,0,0,2,5
22,,1,0,0,0,0,0,1,2.5
23,,1,1,1,0,0,0,3,5
24,,1,0,0,1,1,0,3,2.5
25,,1,0,1,0,1,0,3,2.5
26,,0,1,1,0,1,0,3,2
27,,0,0,1,1,0,0,2,4
28,,1,0,0,0,1,0,2,2.5
29,,0,0,1,0,0,0,1,2
30,,1,1,1,1,1,0,5,3
31,,1,1,1,1,0,0,4,2
32,,0,1,0,0,1,1,3,5.5
33,,0,0,1,0,1,1,3,1.5
34,,1,1,1,1,0,1,5,1
35,,1,0,0,1,1,1,4,5.5
36,,0,1,0,1,1,1,4,1.5
37,,0,1,0,1,1,1,4,3.5
38,,0,0,1,1,0,1,3,2
39,,1,1,0,1,1,1,5,1
40,,0,1,1,1,0,1,4,1
41,,0,1,0,1,1,1,4,4
42,,0,1,1,0,1,1,4,5.5
43,,1,1,1,0,1,1,5,3.5
44,,0,0,1,1,1,1,4,7
45,,1,1,1,1,1,1,6,5
46,,1,1,1,1,1,1,6,1
47,,1,1,1,1,0,1,5,3.5
48,,1,1,0,1,1,1,5,2
49,,1,1,0,0,1,1,4,3
50,,1,1,0,1,1,1,5,3.5
51,,0,1,0,1,1,1,4,2
52,,1,1,1,1,1,1,6,6
53,,1,1,1,1,0,1,5,2.5
54,,1,1,1,1,1,1,6,1
55,,1,1,1,0,1,1,5,3
56,,1,1,0,1,1,1,5,1
57,,1,0,0,1,1,1,4,4.5
58,,1,0,0,0,1,1,3,1.5
59,,0,1,1,1,1,1,5,3
60,,0,1,1,0,0,1,3,5.5
61,,1,1,0,1,1,1,5,4
62,,0,1,1,0,1,1,4,3
